Date,MARKET,UNH,GS,HD,AMGN,MCD,MSFT,V,CAT,HON,TRV,CVX,JNJ,CRM,AAPL,AXP,BA,WMT,PG,IBM,MMM,JPM,DIS,MRK,NKE,KO,DOW,CSCO,VZ,WBA,INTC
2019-12-19,3205.3701171875,283.086669921875,216.39651489257812,206.8133544921875,222.80795288085938,184.87765502929688,151.80511474609375,183.2922821044922,135.6328125,166.95574951171875,127.79764556884766,103.32728576660156,135.3591766357422,163.3300018310547,68.69609069824219,119.67517852783203,331.5274963378906,114.89181518554688,116.86085510253906,112.19984436035156,156.12759399414062,125.334228515625,146.14999389648438,78.32372283935547,98.6922607421875,49.80502700805664,47.323238372802734,43.601932525634766,52.834266662597656,51.51629638671875,53.73612594604492
2019-12-20,3221.219970703125,281.1361389160156,215.44598388671875,207.7243194580078,223.9319610595703,184.95272827148438,153.46253967285156,184.72683715820312,138.0177459716797,166.8705596923828,127.76016998291016,104.6830825805664,136.02037048339844,164.5500030517578,68.5538101196289,120.57634735107422,326.0600280761719,115.09273529052734,117.2724838256836,113.0586929321289,159.0478973388672,125.23388671875,146.8800048828125,79.70758819580078,97.53117370605469,50.4009895324707,47.40135955810547,43.21034622192383,53.937870025634766,52.08721160888672,54.65398025512695
2019-12-23,3224.010009765625,283.5382080078125,215.59654235839844,205.86485290527344,223.90431213378906,184.07080078125,153.46253967285156,183.82286071777344,138.88755798339844,166.88951110839844,127.5728988647461,105.25161743164062,136.3742218017578,163.74000549316406,69.67250061035156,119.34922790527344,335.5535583496094,113.88716125488281,116.84214782714844,113.02532958984375,161.85940551757812,125.19733428955078,144.67999267578125,79.84686279296875,97.60922241210938,50.34598159790039,47.679115295410156,43.802268981933594,53.355648040771484,52.24778366088867,54.91358184814453
2019-12-24,3223.3798828125,283.00982666015625,216.36825561523438,207.23597717285156,223.2593994140625,184.51177978515625,153.43324279785156,184.30435180664062,137.93356323242188,166.77598571777344,127.19831085205078,105.26036071777344,135.8992919921875,163.25,69.73872375488281,119.58891296386719,331.03045654296875,114.34645080566406,117.14151763916016,112.55005645751953,160.2359619140625,125.54412078857422,145.2899932861328,79.58574676513672,97.70679473876953,50.16260528564453,47.65308380126953,43.510860443115234,53.25136947631836,52.051536560058594,55.0804557800293
2019-12-26,3239.909912109375,284.07635498046875,217.59169006347656,207.3768310546875,222.8632354736328,184.87765502929688,154.69091796875,185.8666229248047,138.6256561279297,167.3151397705078,127.62908935546875,105.48780059814453,135.80615234375,164.50999450683594,71.12238311767578,120.23123168945312,327.96868896484375,114.35600280761719,117.14151763916016,112.49169158935547,160.1543731689453,126.87638092041016,145.6999969482422,79.49871063232422,98.26294708251953,50.44683837890625,47.93083953857422,43.574607849121094,53.26006317138672,52.54216384887695,55.460575103759766
2019-12-27,3240.02001953125,284.3837890625,217.07408142089844,206.5785675048828,222.5223388671875,185.91903686523438,154.97364807128906,186.0926513671875,138.68177795410156,166.93679809570312,128.10667419433594,105.22537994384766,135.73165893554688,164.97999572753906,71.09538269042969,120.02030181884766,328.1874084472656,114.42296600341797,117.95538330078125,112.79185485839844,160.76199340820312,126.9676513671875,145.75,79.6379623413086,99.10204315185547,50.749412536621094,47.59231948852539,43.50175476074219,53.4686164855957,52.64921188354492,55.701637268066406
2019-12-30,3221.2900390625,282.3468017578125,216.26475524902344,204.0805206298828,221.36151123046875,184.7369384765625,153.6379852294922,184.55982971191406,137.9709930419922,166.88003540039062,127.81636047363281,104.8317642211914,135.31259155273438,162.44000244140625,71.51734161376953,119.16707611083984,324.4695129394531,114.2411880493164,116.43989562988281,110.74064636230469,159.46511840820312,126.50227355957031,143.77000427246094,79.22888946533203,98.35076141357422,50.67605972290039,47.1670036315918,43.33784103393555,53.190547943115234,52.551082611083984,55.2751579284668
2019-12-31,3230.780029296875,282.4717102050781,216.38710021972656,205.0853729248047,222.0985565185547,185.39364624023438,153.7452392578125,184.62857055664062,138.12063598632812,167.42868041992188,128.2471466064453,105.40906524658203,135.8434295654297,162.63999938964844,72.03987884521484,119.34922790527344,323.83331298828125,113.70538330078125,116.84214782714844,111.76624298095703,160.0001983642578,127.20488739013672,144.6300048828125,79.15926361083984,98.84837341308594,50.749412536621094,47.505523681640625,43.67478561401367,53.355648040771484,52.59568405151367,55.4883918762207
2020-01-02,3257.85009765625,281.0495910644531,220.51852416992188,206.28744506835938,221.20489501953125,188.37705993652344,156.59201049804688,187.79251098632812,140.7861328125,171.0137176513672,128.77154541015625,106.21377563476562,135.9365692138672,166.99000549316406,73.68355560302734,121.07124328613281,331.34857177734375,113.80106353759766,115.44827270507812,112.91693115234375,163.2469940185547,128.7470245361328,148.1999969482422,80.10796356201172,99.71674346923828,50.41933059692383,46.654876708984375,44.41782760620117,53.05149841308594,52.70274353027344,56.40624237060547
2020-01-03,3234.85009765625,278.20550537109375,217.93992614746094,205.6018829345703,219.70315551757812,187.71095275878906,154.6421661376953,186.29901123046875,138.83145141601562,169.18809509277344,128.31271362304688,105.8464126586914,134.36270141601562,166.1699981689453,72.96721649169922,119.86870574951172,330.7919006347656,112.79642486572266,114.67182922363281,112.01642608642578,161.84124755859375,127.04803466796875,146.5,79.42037200927734,99.44355010986328,50.14426803588867,45.50044250488281,43.69312286376953,52.48666763305664,52.70274353027344,55.72017288208008
2020-01-06,3246.280029296875,280.1368408203125,220.1703338623047,206.56918334960938,221.38914489746094,189.82188415527344,155.04188537597656,185.8961181640625,138.73789978027344,167.9110870361328,128.45314025878906,105.48780059814453,134.195068359375,173.4499969482422,73.54863739013672,119.3492202758789,331.7660827636719,112.56680297851562,114.83084869384766,111.8162841796875,161.99542236328125,126.94703674316406,145.64999389648438,79.75982666015625,99.3557357788086,50.12593078613281,45.31816864013672,43.84907913208008,52.37369918823242,53.15768051147461,55.562564849853516
2020-01-07,3237.179931640625,278.44573974609375,221.61962890625,205.2168426513672,219.3070068359375,190.10333251953125,153.62826538085938,185.4048309326172,136.90478515625,168.00567626953125,126.5708999633789,104.1407470703125,135.01458740234375,176.0,73.2027359008789,118.72390747070312,335.28515625,111.52388763427734,114.11988067626953,111.89132690429688,161.3424072265625,124.78886413574219,145.6999969482422,77.63613891601562,99.30694580078125,49.740848541259766,45.30080795288086,43.564701080322266,51.791481018066406,52.890071868896484,54.63543701171875
2020-01-08,3253.050048828125,284.3165283203125,223.7559051513672,208.28778076171875,219.47283935546875,193.18051147460938,156.07525634765625,188.57861328125,138.12063598632812,168.14759826660156,127.92875671386719,102.95117950439453,134.99598693847656,177.3300018310547,74.38028717041016,120.77301788330078,329.41009521484375,111.14118194580078,114.6063461303711,112.82521057128906,163.81834411621094,125.76232147216797,145.39999389648438,77.11394500732422,99.0825424194336,49.83252716064453,45.7695198059082,43.59222412109375,51.887062072753906,49.80354690551758,54.67252731323242
2020-01-09,3274.699951171875,282.7022705078125,228.3108367919922,211.4807891845703,220.126953125,195.4697265625,158.025146484375,189.8854522705078,137.7745819091797,169.38674926757812,128.87454223632812,102.78499603271484,135.39642333984375,179.60000610351562,75.96019744873047,122.95684051513672,334.3507080078125,112.28933715820312,115.85989379882812,114.017578125,164.33531188964844,126.22154235839844,144.8300018310547,77.79280853271484,99.01422882080078,50.74024200439453,45.30080795288086,43.40874481201172,51.67195129394531,48.777687072753906,54.97846984863281
2020-01-10,3265.35009765625,283.57666015625,227.84967041015625,210.56985473632812,219.50970458984375,194.45645141601562,157.29396057128906,190.39639282226562,136.67095947265625,169.017822265625,126.8986587524414,101.84907531738281,135.08909606933594,180.1999969482422,76.13191223144531,122.44696044921875,327.96868896484375,111.35169219970703,115.97216033935547,113.97588348388672,163.67324829101562,124.9633560180664,144.6199951171875,77.92334747314453,98.44833374023438,50.91444778442383,44.70188903808594,43.23445510864258,51.79487609863281,48.36733627319336,54.644710540771484
2020-01-13,3288.1298828125,274.6599426269531,230.76712036132812,209.743408203125,218.27517700195312,193.74343872070312,159.18531799316406,191.9292449951172,137.31629943847656,171.4677734375,127.6009521484375,102.04149627685547,135.68507385253906,183.85000610351562,77.75841522216797,123.65908813476562,328.26690673828125,110.8732681274414,116.82344055175781,113.90084075927734,164.0813446044922,126.00109100341797,143.8800048828125,77.90593719482422,99.67771911621094,51.464576721191406,45.43968200683594,44.00502395629883,51.93536376953125,48.224609375,55.24734115600586
2020-01-14,3283.14990234375,276.9563903808594,231.19058227539062,209.2456817626953,221.11276245117188,194.50340270996094,158.0641326904297,192.63670349121094,137.18536376953125,170.69210815429688,127.9662094116211,101.72661590576172,136.44876098632812,182.1199951171875,76.70841979980469,123.90922546386719,330.3843078613281,111.16030883789062,116.64569854736328,113.25045776367188,164.48947143554688,127.47051239013672,145.1999969482422,78.27149963378906,100.41923522949219,51.34537887573242,45.34421157836914,43.83990478515625,51.838775634765625,48.724159240722656,55.0989990234375
2020-01-15,3289.2900390625,284.8066101074219,230.76712036132812,210.91732788085938,222.678955078125,196.8019256591797,159.08778381347656,196.32142639160156,136.14718627929688,170.95697021484375,128.82772827148438,101.57791137695312,136.90504455566406,181.05999755859375,76.37968444824219,124.89051055908203,327.8493957519531,110.29920959472656,117.83377075195312,113.91753387451172,163.04745483398438,125.56029510498047,144.32000732421875,79.67278289794922,100.29240417480469,51.98720932006836,45.370243072509766,44.04171371459961,51.89146041870117,48.554664611816406,54.644710540771484
