Date,MARKET,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU
2019-12-12,302.2188720703125,119.84938049316406,57.790138244628906,50.7171745300293,28.948123931884766,95.66332244873047,77.86972045898438,57.2724723815918,34.040645599365234,86.25096130371094,57.183448791503906
2019-12-13,302.39990234375,119.95650482177734,57.99335479736328,50.333274841308594,28.84480857849121,95.59698486328125,77.6606216430664,56.83053970336914,34.07691955566406,86.8233642578125,57.629058837890625
2019-12-16,304.4774169921875,120.482421875,58.196590423583984,51.009281158447266,28.948123931884766,96.62992095947266,77.62259674072266,57.07501983642578,34.339813232421875,87.5995101928711,58.347496032714844
2019-12-17,304.5440979003906,121.01807403564453,58.104209899902344,51.04266357421875,29.060840606689453,96.52567291259766,77.54657745361328,57.159637451171875,33.96813201904297,87.3957748413086,58.53846740722656
2019-12-18,304.56317138671875,121.13493347167969,58.01183319091797,51.234622955322266,28.938730239868164,96.6583480834961,77.22344207763672,57.084415435791016,34.44859313964844,87.38609313964844,58.77490997314453
2019-12-19,305.8115539550781,121.51476287841797,58.32591247558594,51.21792984008789,28.929340362548828,97.03739166259766,77.43252563476562,57.28187561035156,34.77495193481445,88.01670837402344,58.79309844970703
2019-12-20,307.1523132324219,121.70042419433594,58.76642990112305,51.70923614501953,28.963327407836914,97.72439575195312,77.7887954711914,57.55984115600586,35.04346466064453,88.52772521972656,59.1972770690918
2019-12-23,307.62158203125,121.41705322265625,58.51498031616211,52.240142822265625,28.897239685058594,98.11453247070312,78.42875671386719,57.72056579589844,34.83268356323242,88.78080749511719,58.647369384765625
2019-12-24,307.6311950683594,121.69064331054688,58.589473724365234,52.2148551940918,28.963327407836914,97.99085235595703,78.1135482788086,57.7867431640625,34.878509521484375,88.81000518798828,58.7298583984375
2019-12-26,309.2687683105469,123.17586517333984,58.64535903930664,52.1980094909668,29.123811721801758,97.92424011230469,78.2950439453125,58.042030334472656,35.08927917480469,89.4719009399414,58.83068084716797
2019-12-27,309.1921081542969,123.16610717773438,58.9061279296875,51.978904724121094,29.04829216003418,97.95277404785156,78.2281723022461,57.8245735168457,35.21757125854492,89.46215057373047,59.00481033325195
2019-12-30,307.4874572753906,122.3746337890625,58.59878921508789,51.81486129760742,28.963327407836914,97.36471557617188,77.86521911621094,57.644927978515625,35.19009017944336,88.94628143310547,58.99565124511719
